classification_id	source_path	source_line	warning	message	architectures	review_cluster	x86_x64_disposition	required_next_read	source_records
T310-S8-P4-CLASS-000142	src/mvdm-host/dos/dem/demsrch.c	351	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000261
T310-S8-P4-CLASS-000143	src/mvdm-host/dos/dem/demsrch.c	352	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000262
T310-S8-P4-CLASS-000144	src/mvdm-host/dos/dem/demsrch.c	395	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000263
T310-S8-P4-CLASS-000145	src/mvdm-host/dos/dem/demsrch.c	396	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000264
T310-S8-P4-CLASS-000146	src/mvdm-host/dos/dem/demsrch.c	400	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000265
T310-S8-P4-CLASS-000147	src/mvdm-host/dos/dem/demsrch.c	401	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000266
T310-S8-P4-CLASS-000148	src/mvdm-host/dos/dem/demsrch.c	499	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000267
T310-S8-P4-CLASS-000149	src/mvdm-host/dos/dem/demsrch.c	500	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000268
T310-S8-P4-CLASS-000150	src/mvdm-host/dos/dem/demsrch.c	525	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000269
T310-S8-P4-CLASS-000151	src/mvdm-host/dos/dem/demsrch.c	526	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000270
T310-S8-P4-CLASS-000152	src/mvdm-host/dos/dem/demsrch.c	533	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000271
T310-S8-P4-CLASS-000153	src/mvdm-host/dos/dem/demsrch.c	534	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000272
T310-S8-P4-CLASS-000168	src/mvdm-host/dos/dem/demsrch.c	2011	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000301
T310-S8-P4-CLASS-000169	src/mvdm-host/dos/dem/demsrch.c	2012	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000302
T310-S8-P4-CLASS-000170	src/mvdm-host/dos/dem/demsrch.c	2015	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000303
T310-S8-P4-CLASS-000171	src/mvdm-host/dos/dem/demsrch.c	2016	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000304
T310-S8-P4-CLASS-000182	src/mvdm-host/dos/dem/demsrch.c	2240	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000325
T310-S8-P4-CLASS-000183	src/mvdm-host/dos/dem/demsrch.c	2241	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000326
T310-S8-P4-CLASS-000184	src/mvdm-host/dos/dem/demsrch.c	2242	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000327
T310-S8-P4-CLASS-000185	src/mvdm-host/dos/dem/demsrch.c	2243	C4213	nonstandard extension used: cast on l-value	x64	MVDM-DOS-OWNER-PACKAGE	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000328
T310-S8-P4-CLASS-000196	src/mvdm-host/softpc.new/host/src/sim32.c	283	C4244	'=': conversion from 'int' to 'IU8', possible loss of data	x64,x86	MVDM-SIM32-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000349,T310-S8-P4-WARN-000350
T310-S8-P4-CLASS-000197	src/mvdm-host/softpc.new/host/src/sim32.c	294	C4244	'=': conversion from 'int' to 'IU8', possible loss of data	x64,x86	MVDM-SIM32-OWNER-PACKAGE	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000351,T310-S8-P4-WARN-000352
T310-S8-P4-CLASS-000200	src/mvdm-host/xms.486/xmsblock.c	55	C4013	'DbgPrint' undefined; assuming extern returning int	x64,x86	MVDM-XMS.486-OWNER-PACKAGE	must-repair-call-abi	undeclared, old-style, or incompatible call/table contract may truncate a pointer or pass the wrong calling convention; reconcile declaration, definition, table slot and selected callers	T310-S8-P4-WARN-000357,T310-S8-P4-WARN-000358
T310-S8-P4-CLASS-000201	src/mvdm-host/softpc.new/base/bios/cmos_bis.c	143	C4131	'cmos_read': uses old-style declarator	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000359,T310-S8-P4-WARN-000360
T310-S8-P4-CLASS-000202	src/mvdm-host/softpc.new/base/bios/cmos_bis.c	178	C4131	'cmos_write': uses old-style declarator	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	must-read-old-style-call-contract	K&R declaration may hide a modern parameter/return ABI mismatch; compare the selected declaration and callers before deciding whether it is a harmless source-style warning	T310-S8-P4-WARN-000361,T310-S8-P4-WARN-000362
T310-S8-P4-CLASS-000203	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	444	C4310	cast truncates constant value	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000363,T310-S8-P4-WARN-000364
T310-S8-P4-CLASS-000204	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	880	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000365,T310-S8-P4-WARN-000366
T310-S8-P4-CLASS-000205	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	886	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000367,T310-S8-P4-WARN-000368
T310-S8-P4-CLASS-000206	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	1078	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000369,T310-S8-P4-WARN-000370
T310-S8-P4-CLASS-000207	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	1084	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000371,T310-S8-P4-WARN-000372
T310-S8-P4-CLASS-000208	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	1164	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000373,T310-S8-P4-WARN-000374
T310-S8-P4-CLASS-000209	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	1170	C4244	'function': conversion from 'short' to 'unsigned char', possible loss of data	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	read-value-range-and-architecture-delta	narrowing/widening is not automatically a defect; determine guest fixed-width value, private native value, or host identity before selecting original correction, overlay, or mapping-manager boundary	T310-S8-P4-WARN-000375,T310-S8-P4-WARN-000376
T310-S8-P4-CLASS-000210	src/mvdm-host/softpc.new/base/bios/emm_fncs.c	2140	C4018	'<': signed/unsigned mismatch	x64,x86	SPC-BIOS-FIRMWARE-BINDINGS	unclassified-read-source	warning class has no approved general disposition; read original source, declaration and selected caller before any change	T310-S8-P4-WARN-000377,T310-S8-P4-WARN-000378
