candidate_id	callee_spelling	preliminary_disposition	prior_t299_resolution	prior_t299_basis	required_next_action	constraint
"MVDM-FIRST-REBASELINED-000023"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000024"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000025"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000026"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000027"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000028"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000029"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000030"	"ReadWordSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000031"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000032"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000033"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000034"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000035"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000036"	"ReadWordSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000037"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000038"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000039"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000040"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000041"	"ReadByte"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000042"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000043"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000044"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000045"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000046"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000047"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000048"	"ReadWordSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000049"	"ReadWordSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000050"	"ReadWordSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000051"	"ReadByteSafe"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000052"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000053"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000054"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000055"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000056"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000057"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000058"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000059"	"ReadWord"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000060"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000061"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000062"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000063"	"OpenFile"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000064"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000065"	"strcat"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000066"	"OpenFile"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000067"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000068"	"strcat"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000069"	"OpenFile"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000070"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000071"	"_llseek"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000072"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000073"	"_llseek"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000074"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000075"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000076"	"_llseek"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000077"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000078"	"_llseek"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000079"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000080"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000081"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000082"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000083"	"strcpy"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000084"	"strcat"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000085"	"OpenFile"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000086"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000087"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000088"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000089"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000090"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000091"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000092"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000093"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000094"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000095"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000096"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000097"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000098"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000099"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000100"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000101"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000102"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000103"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000104"	"_llseek"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000105"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000106"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000107"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000108"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000109"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000110"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000111"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000112"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000113"	"_lclose"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
"MVDM-FIRST-REBASELINED-000114"	"_lread"	"requires-original-declaration-and-body-search"	""	""	"resolve declaration-guided original body variants or record hard-boundary/source-unavailable outcome"	"T301 must not merge by spelling, inspect a second-degree body, import source, or select a runtime provider."
